ID,ID COLLEZIONISTA,Nazione,Città,Collezionista,Luogo,# inv.,da,a,Modalità di Acquisizione,Nazione 2,Città 2,Venditore,Nome,Note,Archivio,Segnatura,Documento
DE 009,42.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 010,43.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 010,44.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 011,45.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donato a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 011,46.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferito nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 012,47.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 012,48.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 013,49.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 013,50.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 014,51.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 014,52.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 015,53.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 015,54.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 016,55.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 016,56.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 017,57.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 017,58.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 018,59.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 018,60.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 019,61.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822 (?),1822 (?),Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 019,62.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822 (?),1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 020,63.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donato a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 020,64.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferito nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 021,65.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 021,66.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 022,67.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 022,68.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 023,69.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 023,70.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferito nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 024,71.0,Germania,Potsdam,Friedrich Wilhelm Ternite,Missing Value,Missing Value,post 1825,1826-1827,Acquisto,Missing Value,Missing Value,Missing Value,Missing Value,Donata alla raccolta statale berlinese nel 1826-1827 e quindi confluita negli Staatliche Museen zu Berlin - Antikensammlung nel 1830,Missing Value,Missing Value,Missing Value
DE 025,72.0,Germania,Potsdam,Johann Gottlob Samuel Rösel,Missing Value,Missing Value,1816-1817,1843,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 026,73.0,Germania,Potsdam,Friedrich Wilhelm Ternite,Missing Value,Missing Value,post 1825,1826-1827,Acquisto,Missing Value,Missing Value,Missing Value,Missing Value,Donata alla raccolta statale berlinese nel 1826-1827 e quindi confluita negli Staatliche Museen zu Berlin - Antikensammlung nel 1830,Missing Value,Missing Value,Missing Value
DE 027,74.0,Germania,Potsdam,Friedrich Wilhelm Ternite,Missing Value,Missing Value,post 1825,1826-1827,Acquisto,Missing Value,Missing Value,Missing Value,Missing Value,Donata alla raccolta statale berlinese nel 1826-1827 e quindi confluita negli Staatliche Museen zu Berlin - Antikensammlung nel 1830,Missing Value,Missing Value,Missing Value
DE 028,75.0,Germania,Potsdam,Johann Gottlob Samuel Rösel,Missing Value,Missing Value,1816-1817,1843,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
